,SIGNGU_CD,성별,연령대별,CLASS1,카드이용건수계순위,카드이용금액계순위
137,11110,M,30대,전자상거래,3,2
138,11110,M,30대,주유,9,8
139,11110,M,40대,가전/가구,14,12
140,11110,M,40대,가정생활/서비스,4,4
141,11110,M,40대,교육/학원,12,11
142,11110,M,40대,미용,10,13
143,11110,M,40대,스포츠/문화/레저,7,9
144,11110,M,40대,여행/교통,9,6
145,11110,M,40대,요식/유흥,2,1
146,11110,M,40대,유통,1,2
147,11110,M,40대,음/식료품,8,10
148,11110,M,40대,의료,5,5
149,11110,M,40대,의류/잡화,13,14
150,11110,M,40대,자동차,11,7
151,11110,M,40대,전자상거래,3,3
152,11110,M,40대,주유,6,8
153,11110,M,50대,가전/가구,14,11
154,11110,M,50대,가정생활/서비스,4,5
155,11110,M,50대,교육/학원,13,13
156,11110,M,50대,미용,10,14
157,11110,M,50대,스포츠/문화/레저,9,9
158,11110,M,50대,여행/교통,8,6
159,11110,M,50대,요식/유흥,2,1
160,11110,M,50대,유통,1,2
161,11110,M,50대,음/식료품,7,10
162,11110,M,50대,의료,3,4
163,11110,M,50대,의류/잡화,12,12
164,11110,M,50대,자동차,11,8
165,11110,M,50대,전자상거래,5,3
166,11110,M,50대,주유,6,7
167,11110,M,60대,가전/가구,13,10
168,11110,M,60대,가정생활/서비스,5,5
169,11110,M,60대,교육/학원,14,14
170,11110,M,60대,미용,10,13
171,11110,M,60대,스포츠/문화/레저,9,11
172,11110,M,60대,여행/교통,8,4
173,11110,M,60대,요식/유흥,1,1
174,11110,M,60대,유통,2,2
175,11110,M,60대,음/식료품,7,8
176,11110,M,60대,의료,3,3
177,11110,M,60대,의류/잡화,12,12
178,11110,M,60대,자동차,11,9
179,11110,M,60대,전자상거래,6,7
180,11110,M,60대,주유,4,6
181,11110,M,70대이상,가전/가구,14,11
182,11110,M,70대이상,가정생활/서비스,5,6
183,11110,M,70대이상,교육/학원,13,13
184,11110,M,70대이상,미용,10,14
185,11110,M,70대이상,스포츠/문화/레저,9,9
186,11110,M,70대이상,여행/교통,7,4
187,11110,M,70대이상,요식/유흥,1,3
188,11110,M,70대이상,유통,2,1
189,11110,M,70대이상,음/식료품,6,8
190,11110,M,70대이상,의료,3,2
